Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Database Source,Database ID,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
pten,protein,,pten,uniprot,p60484,,,pi3k,other,,,fplx,pi3k,,,negative,i,inhibition,,,,,,0.65,indra,"the authors found no phosphatidyl inositol 3-kinase catalytic subunit (pik3ca) mutations in the primary specimens or cell lines, suggesting that loss of pten activates the pi3k and akt pathway in mcl.",pmc4712330,['nan'],['nan'],1,1,40,1,41
pten,protein,,pten,uniprot,p60484,,,phosphatidylinositol,simplechemical,,,chebi,chebi:28874,,,negative,i,inhibition,,,,,,0.65,indra,"impaired pten function, which antagonizes phosphoinositide 3-kinase (pi3k) signaling, causes the accumulation of phosphatidylinositol (3,4,5)-triphosphate and thereby the suppression of downstream components of the pi3k pathway, including the protein kinase b and mammalian target of rapamycin kinases.",pmc4712330,['nan'],['nan'],1,1,40,1,41
tbk1,other,,tbk1,up,q9uhd2,,,akt,other,,,fplx,akt,,,positive,i,phosphorylation,,,,,,"0.991866,0.98922,0.9804","indra,indra,indra","nan,nan,nan","pmc4302769,pmc4302769,pmc4302769","['nan', 'nan', 'nan']","['nan', 'nan', 'nan']",3,0.1,39,1,39.3
akt,other,,,fplx,akt,,,cell differentiation,bioprocess,,,go,go:0030154,,,negative,i,inhibition,,,,,,"0.65,0.65,0.65","indra,indra,indra","since it was reported that akt inhibition promotes t cell differentiation to a memory phenotype [xref_bibr], we evaluated cd62l expression in transduced t cells.,however, recent data implicates the transcription factor foxo1 in the induction of treg, and phosphorylation of foxo1 by akt was established as a mechanism by which akt and mtor signaling inhibits treg differentiation.,expression of active akt at a stage before foxp3 turn on during normal t reg differentiation in the thymus selectively impaired differentiation of cd4 + foxp3 + cells without any alteration in the positive selection of tconv.","pmc4550078,pmc4418530,pmc2275380","['nan', 'nan', 'nan']","['nan', 'nan', 'nan']",3,0.1,39,1,39.3
tbk1,other,,tbk1,up,q9uhd2,,,rps6,other,,rps6,up,p62753,,,positive,i,phosphorylation,,,,,,"0.951,0.65","indra,indra","nan,nan","pmc4302769,pmc4302769","['nan', 'nan']","['nan', 'nan']",2,0.1,39,1,39.2
akt,other,,,fplx,akt,,,cell survival,bioprocess,,,mesh,d002470,,,positive,i,activation,,,,,,"0.65,0.65","indra,indra","in peripheral t cells, cd5-ck2 signaling is necessary for efficient tcr induced activation of akt to promote cell survival [xref_bibr].,as expected, our akt * vector did promote cell survival in conditions of cytokine deprivation.","pmc5193405,pmc2275380","['nan', 'nan']","['nan', 'nan']",2,0.1,39,1,39.2
pan,protein,,,uniprot,q9yac7,,,pi3k,other,,,fplx,pi3k,,,negative,i,inhibition,,,,,,"0.86,0.9499940951","indra,indra","by contrast, lonetti et al. recently indicated that pi3k pan-inhibition developed the highest cytotoxic effects when compared with both selective isoform inhibition and dual p110γ/δ inhibition, in t-all cell lines with or without pten deletion [ xref ].,increase of these transcripts appeared to be cell type-dependent, as all-sil, dnd-41 and, partially, loucy cells, which activated autophagy after pi3k pan-inhibition, up-regulated numerous genes involved in the formation of autophagosomes ( dram1, gabarapl1, gabarapl2, map1lc3b, atg16l2, wipi1, pik3c3 ), as well as anti-apoptotic genes ( bcl2 ) and genes of the unfolded protein response signaling ( eif2ak3 ).","pmc4712330,pmc4496363","['nan', 'nan']","['nan', 'nan']",2,0.1,39,1,39.2
akt,other,,,fplx,akt,,,"transcription, dna-templated",bioprocess,,,go,go:0006351,,,negative,i,inhibition,,,,,,"0.923,0.65","indra,indra","the expression of klf2 is known to be mediated by foxo1, a transcription factor that is negatively regulated by akt xref_bibr.,importantly, pi3k and autophagy pathways are tightly related, as mtorc1 suppress autophagy by inhibiting ulk1, and the transcription factor foxo3, which is inhibited by active akt, regulates a number of autophagy related genes, including lc3, gabarapl1, bnip3, pik3c3, and ulk1 [xref_bibr, xref_bibr, xref_bibr].","pmc4302769,pmc4496363","['nan', 'nan']","['nan', 'nan']",2,0.1,39,1,39.2
ck2,other,,,fplx,ck2,,,erk,other,,,fplx,erk,,,positive,i,phosphorylation,,,,,,"0.8775000000000001,0.8775000000000001","indra,indra","nan,nan","pmc5193405,pmc5193405","['nan', 'nan']","['nan', 'nan']",2,0.1,39,1,39.2
pak1,protein,,pak1,uniprot,q13153,,,bcl2l11,protein,,bcl2l11,uniprot,o43521,,,positive,i,increaseamount,,,,,,"0.65,0.65","indra,indra","to further show that pak1 overexpression led to increased levels of bim and markers of bim mediated apoptosis, in xref_fig we show that bim levels increased following transfection of pak1 into jurkat t cells, especially in combination with expression of catalytically inactive plc-gamma1 (plc-gamma1 ci), which favors formation of bam32-pak1-plc-gamma1 complexes.,overexpression of active pak1 accelerated procarcinogen induced cell death in hela cells [xref_bibr] and overexpression of pak1 in jurkat t cells increased expression of bim and active caspase 9 (xref_fig).","pmc4487994,pmc4487994","['nan', 'nan']","['nan', 'nan']",2,0.1,39,1,39.2
mtor,other,,mtor,up,p42345,,,akt,other,,,fplx,akt,,,positive,i,phosphorylation,,,,,,"0.65,0.65","indra,indra","nan,nan","pmc4487994,pmc3949578","['nan', 'nan']","['nan', 'nan']",2,0.1,39,1,39.2
ck2,other,,,fplx,ck2,,,cd5,other,,cd5,up,p06127,,,positive,i,phosphorylation,,,,,,"0.65,0.65","indra,indra","nan,nan","pmc5193405,pmc5193405","['nan', 'nan']","['nan', 'nan']",2,0.1,39,1,39.2
tbk1,other,,tbk1,up,q9uhd2,,,akt,other,,,fplx,akt,,,negative,i,dephosphorylation,,,,,,"0.65,0.65","indra,indra","nan,nan","pmc4302769,pmc4302769","['nan', 'nan']","['nan', 'nan']",2,0.1,39,1,39.2
prkcq,other,,prkcq,up,q04759,,,rasgrp1,other,,rasgrp1,up,o95267,,,positive,i,phosphorylation,,,,,,0.65,indra,nan,pmc4487994,['nan'],['nan'],1,0.1,39,1,39.1
proteasome inhibitor,other,,,text,proteasome inhibitor,,,akt,other,,,fplx,akt,,,negative,i,decreaseamount,,,,,,0.86,indra,"indeed, the expression of tbk1, but not its catalytically inactive mutant (k38a), caused drastic loss of endogenous akt, which was blocked by a proteasome inhibitor, mg132 (xref_fig).",pmc4302769,['nan'],['nan'],1,0.1,39,1,39.1
pten,other,,pten,up,p60484,,,akt,other,,,fplx,akt,,,negative,i,dephosphorylation,,,,,,0.65,indra,nan,pmc4712330,['nan'],['nan'],1,0.1,39,1,39.1
3-methyladenine,simplechemical,,,pubchem,1673,,,autophagy,bioprocess,,,go,go:0006914,,,negative,i,inhibition,,,,,,0.65,indra,"to test our hypothesis, we inhibited autophagy with the early-stage autophagy inhibitor 3-methyladenine (3-ma) and subsequently evaluated cell death induced by treatment with zstk-474.",pmc4496363,['nan'],['nan'],1,0.1,39,1,39.1
pik3ca,other,,pik3ca,up,p42336,,,akt,other,,,fplx,akt,,,positive,i,phosphorylation,,,,,,0.65,indra,nan,pmc4496363,['nan'],['nan'],1,0.1,39,1,39.1
phosphatase,other,,,fplx,phosphatase,,,akt,other,,pten,fplx,akt,,,negative,i,inhibition,,,,,,0.86,indra,"although the lipid phosphatase phosphatase and tensin homolog (pten) suppresses akt activity, the control of pten activity is poorly studied in t cells.",pmc4418530,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,akt,other,,,fplx,akt,,,positive,i,activation,,,,,,0.923,indra,"therefore, block of pi3k activity mainly inhibited akt and its downstream targets.",pmc4496363,['nan'],['nan'],1,0.1,39,1,39.1
phosphatidylinositol phosphate,simplechemical,,,chebi,chebi:28765,,,pleckstrin homology domain,family,,,pfam,pf15411,,,negative,i,inhibition,,,,,,0.65,indra,"following pten loss, excessive pip 3 at the plasma membrane recruits and activates a subset of pleckstrin homology domain containing proteins to the cell membrane.",pmc4712330,['nan'],['nan'],1,0.1,39,1,39.1
phosphatidylinositol,simplechemical,,,chebi,chebi:28874,,,pdpk1,protein,,pdpk1,uniprot,o15530,,,negative,i,inhibition,,,,,,0.65,indra,"pi dephosphorylation by ship-1 prevents akt and pdk1 activation, which are necessary for activation of the serine/threonine kinase mammalian target of rapamycin or mtor [xref_bibr, xref_bibr].",pmc4487994,['nan'],['nan'],1,0.1,39,1,39.1
phosphatidylinositol,simplechemical,,,chebi,chebi:28874,,,akt,other,,,fplx,akt,,,negative,i,inhibition,,,,,,0.65,indra,"pi dephosphorylation by ship-1 prevents akt and pdk1 activation, which are necessary for activation of the serine/threonine kinase mammalian target of rapamycin or mtor [xref_bibr, xref_bibr].",pmc4487994,['nan'],['nan'],1,0.1,39,1,39.1
phosphatase,other,,,fplx,phosphatase,,,pi3k,other,,,fplx,pi3k,,,negative,i,inhibition,,,,,,0.65,indra,"in the cytoplasm, pten has intrinsic lipid phosphatase activity that negatively regulates the cytoplasmic pi3k and akt pathway, whereas in the nucleus, pten has akt independent growth activities.",pmc4712330,['nan'],['nan'],1,0.1,39,1,39.1
phosphatase,other,,,fplx,phosphatase,,,phosphatidylinositol,other,,,chebi,chebi:28874,,,negative,i,dephosphorylation,,,,,,0.65,indra,nan,pmc4712330,['nan'],['nan'],1,0.1,39,1,39.1
phosphatase,other,,,fplx,phosphatase,,,apc-cdh1,other,,,text,apc-cdh1,,,positive,i,activation,,,,,,0.65,indra,"additionally, nuclear exclusion of pten, but not a phosphatase inactive mutant, was shown to impair the tumor-suppressive apc-cdh1 nuclear complex, again demonstrating tumor-suppressive capability of catalytically inactive pten.",pmc3375464,['nan'],['nan'],1,0.1,39,1,39.1
phosphatase,other,,,fplx,phosphatase,,,akt,other,,,fplx,akt,,,negative,i,inhibition,,,,,,0.65,indra,"in the cytoplasm, pten has intrinsic lipid phosphatase activity that negatively regulates the cytoplasmic pi3k and akt pathway, whereas in the nucleus, pten has akt independent growth activities.",pmc4712330,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,apoptotic process,bioprocess,,,go,go:0006915,,,negative,i,inhibition,,,,,,0.65,indra,pi3k pan-inhibition suppressed akt activation and induced caspase independent apoptosis.,pmc4496363,['nan'],['nan'],1,0.1,39,1,39.1
peptides,other,,,text,peptides,,,cell population proliferation,bioprocess,,,go,go:0008283,,,positive,i,activation,,,,,,0.65,indra,"to characterize the relationship between pd-1 expression and the proliferative capacity of treg cells, pbmc from individuals of the different hiv study groups were labelled with carboxyfluorescein succinimidyl ester (cfse), stimulated with hiv gag peptides and analysed for proliferation by cfse dilution via flow cytometry.",pmc4669187,['nan'],['nan'],1,0.1,39,1,39.1
pdpk1,protein,,pdpk1,uniprot,o15530,,,akt,other,,,fplx,akt,,,positive,i,activation,,,,,,0.65,indra,"after recruitment to the plasma membrane, akt becomes phosphorylated and activated by pdk1, and then plays an important role in diverse cellular processes including cell survival, glucose metabolism, and cytokine synthesis [xref_bibr - xref_bibr].",pmc4550078,['nan'],['nan'],1,0.1,39,1,39.1
pdcd1,protein,,pdcd1,uniprot,q15116,,,signal transduction,bioprocess,,,go,go:0007165,,,positive,i,activation,,,,,,0.65,indra,consistent with this are previous observations that (i) the pd-1 and pd-l1 pathway negatively regulates treg cell proliferation by inhibiting the il-2 signalling cascade [xref_bibr] and (ii) exogenous il-2 can overcome pd-1 and pd-l1-mediated inhibition of proliferation [xref_bibr].,pmc4669187,['nan'],['nan'],1,0.1,39,1,39.1
pdcd1,protein,,pdcd1,uniprot,q15116,,,cell population proliferation,bioprocess,,,go,go:0008283,,,negative,i,inhibition,,,,,,0.65,indra,consistent with this are previous observations that (i) the pd-1 and pd-l1 pathway negatively regulates treg cell proliferation by inhibiting the il-2 signalling cascade [xref_bibr] and (ii) exogenous il-2 can overcome pd-1 and pd-l1-mediated inhibition of proliferation [xref_bibr].,pmc4669187,['nan'],['nan'],1,0.1,39,1,39.1
pdcd1,protein,,pdcd1,uniprot,q15116,,,akt,other,,,fplx,akt,,,negative,i,inhibition,,,,,,0.65,indra,"ligation of ctla-4 and pd-1 both inhibit akt activity, suggesting pi3k-akt signaling is a major mechanism of immune regulation [xref_bibr, xref_bibr].",pmc4550078,['nan'],['nan'],1,0.1,39,1,39.1
pbls,other,,,text,pbls,,,apoptotic process,bioprocess,,,go,go:0006915,,,positive,i,activation,,,,,,0.65,indra,"in contrast, pbls expressing car-akt co-cultured with pc3m displayed decreased proliferation and increased apoptosis comparing to cultured alone, suggesting that pc3m model is more immunosuppressive, and up-regulating akt is not sufficient to enable t cells to completely resist the suppression.",pmc4550078,['nan'],['nan'],1,0.1,39,1,39.1
pan-caspase inhibitor,other,,,text,pan-caspase inhibitor,,,cell death,bioprocess,,,go,go:0008219,,,positive,i,activation,,,,,,0.65,indra,"importantly, we demonstrated that, at least in the case of zstk-474, the mechanisms involved in cell death are independent of caspase activity as a pan-caspase inhibitor did not reduce cell death.",pmc4496363,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,akt,other,,pten,fplx,akt,,,positive,i,activation,,,,,,0.65,indra,"in contrast, all abc-dlbcl cell lines had pi3k and akt activation regardless of pten status, which suggests that the activation of pi3k and akt in gcb-dlbcl results from pten deficiency.",pmc4712330,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,atg16l2,protein,,atg16l2,uniprot,q8naa4,,,negative,i,decreaseamount,,,,,,0.65,indra,"in particular, in loucy, all-sil, and dnd-41 cells, pi3k pan-inhibition increased the expression of dram1, gabarapl1, gabarapl2, wipi1, map1lc3b, and atg16l2, all involved in autophagic vesicle nucleation and expansion, as well as increased expression of genes involved in autophagy induction and regulation (ins, pik3c) or prosurvival genes (bcl2, eif2ak3).",pmc4496363,['nan'],['nan'],1,0.1,39,1,39.1
pi3k-akt-mtor,other,,,text,pi3k-akt-mtor,,,stat5,other,,,fplx,stat5,,,positive,i,activation,,,,,,0.65,indra,"however, il-2 activates multiple intracellular pathways in addition to stat5 mediated signaling, including mitogen activated protein kinase (mapk) and pi3k-akt-mtor pathways.",pmc3949578,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,map1lc3b,protein,,map1lc3b,uniprot,q9gzq8,,,negative,i,decreaseamount,,,,,,0.65,indra,"in particular, in loucy, all-sil, and dnd-41 cells, pi3k pan-inhibition increased the expression of dram1, gabarapl1, gabarapl2, wipi1, map1lc3b, and atg16l2, all involved in autophagic vesicle nucleation and expansion, as well as increased expression of genes involved in autophagy induction and regulation (ins, pik3c) or prosurvival genes (bcl2, eif2ak3).",pmc4496363,['nan'],['nan'],1,0.1,39,1,39.1
pi3k-akt-mtor,other,,,text,pi3k-akt-mtor,,,itk,protein,,itk,uniprot,q08881,,,negative,i,inhibition,,,,,,0.65,indra,reduced pi3k-akt-mtor signaling in itk -/- cd4 + t cells.,pmc3949578,['nan'],['nan'],1,0.1,39,1,39.1
pi3k-akt-mtor,other,,,text,pi3k-akt-mtor,,,cd4,protein,,cd4,uniprot,p01730,,,negative,i,inhibition,,,,,,0.65,indra,reduced pi3k-akt-mtor signaling in itk -/- cd4 + t cells.,pmc3949578,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,wipi1,protein,,wipi1,uniprot,q5mnz9,,,negative,i,decreaseamount,,,,,,0.65,indra,"in particular, in loucy, all-sil, and dnd-41 cells, pi3k pan-inhibition increased the expression of dram1, gabarapl1, gabarapl2, wipi1, map1lc3b, and atg16l2, all involved in autophagic vesicle nucleation and expansion, as well as increased expression of genes involved in autophagy induction and regulation (ins, pik3c) or prosurvival genes (bcl2, eif2ak3).",pmc4496363,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,phosphatidylinositol trisphosphate,simplechemical,,,chebi,chebi:60169,,,positive,i,activation,,,,,,0.65,indra,"ship-1 activity opposes the action of pi3 kinase (pi3k), which catalyzes the conversion of pip2 to pip3 following t cell activation.",pmc4487994,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,phosphatidylinositol phosphate,other,,pten,chebi,chebi:28765,,,positive,i,phosphorylation,,,,,,0.65,indra,nan,pmc4496363,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,pak1,protein,,pak1,uniprot,q13153,,,negative,i,inhibition,,,,,,0.65,indra,these results are consistent with our work showing that pi3k and mtor inhibitors increase pak1 signaling.,pmc4487994,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,myc,protein,,myc,uniprot,p01106,,,positive,i,increaseamount,,,,,,0.65,indra,"also, inhibition of pi3k and akt with either pten re-expression or pi3k inhibition significantly downregulated myc expression, suggesting that pten loss leads to the upregulation of myc through the constitutive activation of pi3k and akt in dlbcl [xref_bibr].",pmc4712330,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,immune response,bioprocess,,,go,go:0006955,,,positive,i,activation,,,,,,0.65,indra,"given the importance of pi3k signaling in both normal immunity and the development of cancer, it will be interesting to see how closely pten 's role as a lipid phosphatase is tied to prevention of disease, and how integral pi3k signaling remains throughout disease progression.",pmc3375464,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,autophagy,bioprocess,,,go,go:0006914,,,negative,i,inhibition,,,,,,0.65,indra,"these results demonstrated that pi3k pan-inhibition could induce autophagy which plays a protective role in t-all cells, and suggested that autophagy activation in the different t-all cell lines might be dependent on a different gene expression regulation.",pmc4496363,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,gabarapl2,protein,,gabarapl2,uniprot,p60520,,,negative,i,decreaseamount,,,,,,0.65,indra,"in particular, in loucy, all-sil, and dnd-41 cells, pi3k pan-inhibition increased the expression of dram1, gabarapl1, gabarapl2, wipi1, map1lc3b, and atg16l2, all involved in autophagic vesicle nucleation and expansion, as well as increased expression of genes involved in autophagy induction and regulation (ins, pik3c) or prosurvival genes (bcl2, eif2ak3).",pmc4496363,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,gabarapl1,protein,,gabarapl1,uniprot,q9h0r8,,,negative,i,decreaseamount,,,,,,0.65,indra,"in particular, in loucy, all-sil, and dnd-41 cells, pi3k pan-inhibition increased the expression of dram1, gabarapl1, gabarapl2, wipi1, map1lc3b, and atg16l2, all involved in autophagic vesicle nucleation and expansion, as well as increased expression of genes involved in autophagy induction and regulation (ins, pik3c) or prosurvival genes (bcl2, eif2ak3).",pmc4496363,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,dram1,protein,,dram1,uniprot,q8n682,,,negative,i,decreaseamount,,,,,,0.65,indra,"in particular, in loucy, all-sil, and dnd-41 cells, pi3k pan-inhibition increased the expression of dram1, gabarapl1, gabarapl2, wipi1, map1lc3b, and atg16l2, all involved in autophagic vesicle nucleation and expansion, as well as increased expression of genes involved in autophagy induction and regulation (ins, pik3c) or prosurvival genes (bcl2, eif2ak3).",pmc4496363,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,cell survival,bioprocess,,,mesh,d002470,,,negative,i,inhibition,,,,,,0.65,indra,"it has been previously reported that a limited pi3k activity is sufficient to support cell survival and proliferation and, consequently, complete pi3k inhibition is required to induce cell death [xref_bibr].",pmc4496363,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,cell population proliferation,bioprocess,,,go,go:0008283,,,negative,i,inhibition,,,,,,0.65,indra,"it has been previously reported that a limited pi3k activity is sufficient to support cell survival and proliferation and, consequently, complete pi3k inhibition is required to induce cell death [xref_bibr].",pmc4496363,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,cell death,bioprocess,,,go,go:0008219,,,negative,i,inhibition,,,,,,0.65,indra,"because pi3k pan-inhibition with ztk-474 treatment induced a considerable percentage of cell death in jurkat cells compared to the other cell lines, we supposed a protective role of autophagy in this context.",pmc4496363,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,caspase,family,,,pfam,pf00656,,,negative,i,inhibition,,,,,,0.65,indra,pi3k pan-inhibition suppressed akt activation and induced caspase independent apoptosis.,pmc4496363,['nan'],['nan'],1,0.1,39,1,39.1
pi3k,other,,,fplx,pi3k,,,hla-b,protein,,hla-b,uniprot,p01889,,,negative,i,inhibition,,,,,,0.65,indra,addressing this question will be critical to select which t-all patients may best benefit from a therapeutic strategy involving class i pi3k inhibition.,pmc4496363,['nan'],['nan'],1,0.1,39,1,39.1
rosiglitazone,simplechemical,,,chebi,chebi:50122,,,pi3k,other,,,fplx,pi3k,,,negative,i,inhibition,,,,,,0.65,indra,"the activation of its selective ligand, rosiglitazone, leads to the binding of ppargamma at two pten promoter sites, ppar response element 1 and ppar response element 2, thus upregulating pten and inhibiting pi3k activity.",pmc4712330,['nan'],['nan'],1,0.1,39,1,39.1
pyruvic acid,simplechemical,,,chebi,chebi:32816,,,pak1,protein,,pak1,uniprot,q13153,,,negative,i,decreaseamount,,,,,,0.65,indra,"non essential amino acids and pyruvate also reduced pak1 levels, especially in combination.",pmc4487994,['nan'],['nan'],1,0.1,39,1,39.1
tcr,other,,,fplx,tcr,,,calcium(2+),simplechemical,,grap2,chebi,chebi:29108,,,positive,i,activation,,,,,,0.86,indra,"in contrast, cd5-ck2 signaling deficient t cells have normal tcr induced calcium flux and activation of zap70, arguing in favor of an alternative cd5-ck2-dependent pathway in downregulation of erk phosphorylation, independent of proximal tcr signaling.",pmc5193405,['nan'],['nan'],1,0.1,39,1,39.1
tcr,other,,,fplx,tcr,,,erk,other,,,fplx,erk,,,positive,i,phosphorylation,,,,,,0.951,indra,nan,pmc5193405,['nan'],['nan'],1,0.1,39,1,39.1
tcr,other,,,fplx,tcr,,,erk,bioprocess,,,mesh,d020928,,,positive,i,activation,,,,,,0.8775000000000001,indra,itk-deficient cells also have defective tcr-induced erk activation.,pmc3949578,['nan'],['nan'],1,0.1,39,1,39.1
tcr,other,,,fplx,tcr,,,cell differentiation,bioprocess,,,go,go:0030154,,,positive,i,activation,,,,,,0.65,indra,"in th differentiation, stimulated by high tcr strength, multiple mechanisms suppress pten activity by lowering protein levels and enzymatic activity (xref_fig).",pmc4418530,['nan'],['nan'],1,0.1,39,1,39.1
tcr,other,,,fplx,tcr,,,cd5,protein,,cd5,uniprot,p06127,,,positive,i,activation,,,,,,0.65,indra,"interestingly, the lack of cd5-ck2 signaling had no effect on expression of cd5 on any thymic subpopulation thus, tcr induced cd5 upregulation is likely to be regulated by other cd5 cytoplasmic regions, like the cd5-itim domain [xref_bibr].",pmc5193405,['nan'],['nan'],1,0.1,39,1,39.1
tcr,other,,,fplx,tcr,,,cd4,protein,,cd4,uniprot,p01730,,,negative,i,inhibition,,,,,,0.65,indra,"inhibition of pi3k and akt and mtor pathways, including targeted deletion of mtor, leads to foxp3 expression upon tcr stimulation of cd4 cells.",pmc3949578,['nan'],['nan'],1,0.1,39,1,39.1
tcr,other,,,fplx,tcr,,,calcium(2+),simplechemical,,,chebi,chebi:29108,,,positive,i,activation,,,,,,0.65,indra,"in lat-ki peripheral t cells, tcr induced calcium influx was absent, as predicted from the loss of plc-gamma1 activity.",pmc4487994,['nan'],['nan'],1,0.1,39,1,39.1
tcr,other,,,fplx,tcr,,,apoptotic process,bioprocess,,,go,go:0006915,,,positive,i,activation,,,,,,0.65,indra,enhanced tcr mediated apoptosis and elevated erk phosphorylation in cd5-ck2deltabd is independent of peripheral t cell activation.,pmc5193405,['nan'],['nan'],1,0.1,39,1,39.1
raf,other,,,fplx,raf,,,erk,bioprocess,,,mesh,d020928,,,positive,i,activation,,,,,,0.65,indra,"active pak1 can phosphorylate the serine/threonine kinases raf and mek, thereby activating erk and jnk.",pmc4487994,['nan'],['nan'],1,0.1,39,1,39.1
tcr,other,,,fplx,tcr,,,akt,other,,,fplx,akt,,,positive,i,activation,,,,,,0.8775000000000001,indra,"in peripheral t cells, cd5-ck2 signaling is necessary for efficient tcr induced activation of akt to promote cell survival [xref_bibr].",pmc5193405,['nan'],['nan'],1,0.1,39,1,39.1
tcr,other,,,fplx,tcr,,,akt,other,,,fplx,akt,,,negative,i,inhibition,,,,,,0.86,indra,"since the homeostasis of t cells involves constant stimulation of the tcr by self-ligands xref_bibr, we asked whether the tcr signal could stimulate akt degradation and whether this signalling event was regulated by tbk1.",pmc4302769,['nan'],['nan'],1,0.1,39,1,39.1
tbk1,protein,,tbk1,uniprot,q9uhd2,,,s1pr1,protein,,s1pr1,uniprot,p21453,,,positive,i,increaseamount,,,,,,0.9419,indra,"regarding the human relevance of our findings, we found that tbk1 knockdown in human pbmcs causes hyperactivation of akt-mtorc1 signalling and reduced expression of the t-cell homing genes kfl2 and s1pr1.",pmc4302769,['nan'],['nan'],1,0.1,39,1,39.1
tbk1,protein,,tbk1,uniprot,q9uhd2,,,s1pr1,protein,,s1pr1,uniprot,p21453,,,negative,i,decreaseamount,,,,,,0.9419,indra,"furthermore, the tbk1 deficiency only partially inhibits the expression of s1pr1 and the egress of effector t cells from the lymph nodes.",pmc4302769,['nan'],['nan'],1,0.1,39,1,39.1
tbk1,protein,,tbk1,uniprot,q9uhd2,,,neoplasm invasiveness,bioprocess,,,mesh,d009361,,,positive,i,activation,,,,,,0.86,indra,"to further assess the mechanism by which tbk1 mediates cns infiltration of t cells, we compared the migration of the wt and tbk1 deficient t cells by labelling the in vitro expanded mog primed wt and tbk1-tko t cells with different fluorescence dyes (cmra and cfse, respectively) and transferring them in a mixture (1:1 ratio) into wt mice.",pmc4302769,['nan'],['nan'],1,0.1,39,1,39.1
tbk1,protein,,tbk1,uniprot,q9uhd2,,,mtorc1,bioprocess,,,go,go:0031931,,,positive,i,activation,,,,,,0.86,indra,"t-cell-specific ablation of tbk1 caused heightened activation of akt and its downstream targets, mtorc1 and foxo1.",pmc4302769,['nan'],['nan'],1,0.1,39,1,39.1
tcr,other,,,fplx,tcr,,,itk,protein,,itk,uniprot,q08881,,,positive,i,activation,,,,,,0.65,indra,"given the defective tcr signaling in itk -/- t cells, we examined the effects of itk deficiency on activation of il-2-induced signaling.",pmc3949578,['nan'],['nan'],1,0.1,39,1,39.1
tcr,other,,,fplx,tcr,,,map2k1,protein,,map2k1,uniprot,q02750,,,positive,i,activation,,,,,,0.8775000000000001,indra,"prior to mek1 activation by tcr ( xref ), pten is inactive, allowing the transient induction of akt, even at low dose, which may be necessary for t cell activation and proliferation regardless of differentiation outcome.",pmc4418530,['nan'],['nan'],1,0.1,39,1,39.1
tcr,other,,,fplx,tcr,,,mtor,other,,mtor,up,p42345,,,positive,i,phosphorylation,,,,,,0.65,indra,nan,pmc3949578,['nan'],['nan'],1,0.1,39,1,39.1
tcr,other,,,fplx,tcr,,,pi3k,other,,,fplx,pi3k,,,positive,i,activation,,,,,,0.86,indra,"pi3k is activated by tcr and cd28 signaling and is involved in cell cycle progression, cell survival, proliferation, and regulation of cell trafficking, in part through the activation of pi (3,4,5) p 3 -binding pleckstrin homology (ph) domain containing proteins.",pmc3949578,['nan'],['nan'],1,0.1,39,1,39.1
tcr,other,,,fplx,tcr,,,plcg,bioprocess,,,mesh,d051966,,,positive,i,activation,,,,,,0.65,indra,"itk is a tec family tyrosine kinase that is activated upon tcr signaling and is required for full tcr induced activation of plc-gamma, ca 2+ mobilization, and erk activation.",pmc3949578,['nan'],['nan'],1,0.1,39,1,39.1
